state,bill_number,1_include_in_brief,1_enacted_0_not_enacted,1_good_0_bad,text_description,comments,bill_status,bill_valency
Louisiana,LA HB 629,1,0,0,Would add steps to process to obtain informed consent before vaccine administration,,Not enacted,Bad
Kentucky,KY SB 295,0,0,0,"Prohibit a requirement for any individual to receive a COVID-19 vaccine, modified ModRNA vaccine, or mRNA vaccine for the purpose of student enrollment, employment, or medical treatment in the Commonwealth",Died in committee in the 2024 legislative session,Not enacted,Bad
Louisiana,LA HB 400,0,0,0,"Would specify that informed parental consent is necessary for any medical treatment, including vaccination, for minors under 18.",Died in committee,Not enacted,Bad
Louisiana,LA HB 47,1,1,0,Requires that communication issued about immunization requirements include information about exemptions,,Enacted,Bad
Louisiana,LA HB 655,1,1,0,Increases the patient's fee for vaccines at public health units from $10 to $50,NA,Enacted,Bad
Louisiana,LA HR 314,1,1,1,Urges Department of Health to improve access to immunization services in rural and low-income communities,,Enacted,Good
Louisiana,LA HR 292,1,1,0,Urges Department of Health to study relationship between sudden unexpected deaths of infants and children and the administration of vaccinations,,Enacted,Bad
Louisiana,LA HB 690,NA,1,0,Authorize surgeon general to promulgate new rules regarding administration of products under Emergency Use Authorization (EUA) - including vaccines,NA,Enacted,Bad
Louisiana,LA HB 866,0,0,NA,"Prohibits employment termination, denying of public services, segregation, discrimination, and penalties against someone who refused vaccination",Failed,Not enacted,Bad
Louisiana,LA HCR 3,0,0,0,Repeals the COVID-19 vaccine requirement to attend school,Died in committee,Not enacted,Bad
Louisiana,LA HR 214,NA,1,0,"Require the attorney general to investigate whether certain corporations violated any laws in the production, distribution, or sale of COVID-19 vaccinations.",NA,Enacted,Bad
Maine,ME HB 107,1,0,0,Would restore religious exemptions to immunization requirements,Failed to passed,Not enacted,Bad
Maine,ME LD 1883,1,0,1,"Would establish Maine Health Plan for all residents, covering all childhood and adult vaccinations",Failed to passed,Not enacted,Good
Maine,ME SB 478,1,1,1,Allows pharmacists to administer vaccines to children 3 years and older with a prescription,,Enacted,Good
Maine,ME HB 956,0,0,0,Sought to include vaccination as a protected class,,Not enacted,Bad
Maine,ME HB 727,1,0,0,Repeals certain immunization requirements for a child to attend a public or private elementary or secondary school in the state,,Not enacted,Bad
Maine,ME L D436 (HP 290),0,0,0,Prohibiting state agencies from promoting COVID-19 vaccine in any medium to children,Failed to passed,Not enacted,Bad
Maine,ME LD 917 (HP 852),0,1,0,Repeals a provision of law stating that healthcare providers can't charge uninsured patients for COVID-19 vaccines,NA,Enacted,Bad
Maryland,MD HB 1315,0,1,1,Requires health insurers to cover all costs associated with childhood and adolescent immunizations.,NA,Enacted,Good
Maryland,MD HB 286,NA,1,NA,"Delays the effective date of certain provisions of law that repeal the authority of paramedics to administer influenza and COVID-19 immunization under certain circumstances, relates to the authority of paramedics to administer immunizations.",NA,Enacted,Bad
Maryland,MD HB 608,1,0,0,Would require county board of education to grant students temporary admission to schools if parent is unable to provide proof of immunization,Died in committee,Not enacted,Bad
Maryland,MD HB 76 & MD SB 18,0,1,NA,"Pharmacists with appropriate training and qualifications can provide an influenza vaccine, COVID-19 vaccine, and any other vaccine ""used in response to a public health emergency"" to those 3 years and older",NA,Enacted,Bad
Maryland,MD HB 974,1,1,1,Allows the health commissioner to adopt regulations as needed to ensure that health insurers cover all vaccines recommended by the Advisory Committee on Immunization Practices (ACIP) as of December 2024.,NA,Enacted,Good
Maryland,MD HB 184,1,0,1,"Would establish Healthy Maryland Program, which would provide comprehensive, universal health care services for state residents, including immunizations",,Not enacted,Good
Maryland,MD SB 378,0,0,1,Would authorize minors who are at least 14 years old to consent to vaccination under certain circumstances,,Not enacted,Good
Massachusetts,MA SB 1557,1,0,1,Would require all schools to annually report aggregate immunization data and to make school-level data public,,Not enacted,Good
Massachusetts,MA SB 1618,1,0,1,Specifies requirements for obtaining exemptions to vaccine requirements and immunization data reporting,,Not enacted,Good
Massachusetts,MA HB 3072,1,0,1,Would provide a $100 tax credit for residents who provide proof of vaccination,,Not enacted,Good
Massachusetts,MA HB 1081,1,0,1,Would require insurers to cover recommended vaccines without cost-sharing,,Not enacted,Good
Maryland,MD SB 210,0,NA,1,Extend paramedic authority to administer influenza and COVID-19 vaccines until 2030.,NA,Not enacted,Good
Massachusetts,MA H 2431,0,NA,0,Restricting use of mRNA vaccines,25% progression,Not enacted,Bad
Michigan,MI HB 4079,1,0,0,Would prohibit a requirement for Hepatitis B vaccinations for children under certain circumstances,Died in committee in the 2023-2024 legislative session.,Not enacted,Bad
Michigan,MI SB 107,1,0,1,Would require insurers to cover recommended vaccines administered by pharmacists within insurer network,"Engrossed on 4/22/25, 50% progression",Not enacted,Good
Michigan,MI SB 219,1,1,1,Permits pharmacists to order and administer vaccines to children 3 years and older,Passed in the 2023-2024 legislative session,Enacted,Good
Michigan,MI SR 50,1,1,1,Urges CDC to include new RSV immunization technologies (including vaccines and monoclonal antibodies) within the federal Vaccines for Children Program,Passed in the 2023-2024 legislative session,Enacted,Good
Michigan,MI HB 6205,1,0,1,Would add requirements for obtaining a nonmedical exemption to vaccine requirements,,Not enacted,Good
Puerto Rico,"Puerto Rico Fundamental Right to Religious Freedom Act (Law No. 14 of April 13, 2025)",1,1,0,Prohibits government from voiding a religious vaccine exemption even during an epidemic unless parental consent is provided; adds requirements to informed consent process,NA,Enacted,Bad
Puerto Rico,PR HB 59,1,0,1,"Would include influenza in the list of diseases for which all children in preschool or school must be vaccinated, in accordance with recognized medical practices",,Not enacted,Good
Puerto Rico,PR HB 2105,1,0,1,Would change insurance coverage requirements to guarantee access to vaccination services ,,Not enacted,Good
District of Columbia,DC B 278,1,1,1,"Requires schools to annually distribute immunization information, including information on how to obtain immunizations, in languages other than English",Enacted- 1/23/2024,Enacted,Good
Washington,WA HB 1520; WA SB 5513,1,0,1,Would expand authority of pharmacists to administer vaccines,Died in committee,Not enacted,Good
Washington,WA HB 1531,1,1,1,Preserves the ability of public officials to address communicable diseases,NA,Enacted,Good
Washington,WA SB 5781,0,0,1,Restoring trust in public health by conforming to food and drug administration labeling.,Not eligible; Died in committee,Not enacted,Good
Washington,WA SB 5513,0,0,1,Involves pharmacist vaccination authority,Died in committee,Not enacted,Good
Washington,WA H 1957,1,1,1,Requires preserving coverage of immunization services for children without cost sharing,03/28/2024 - Enacted,Enacted,Good
West Virginia,WV SB 517,0,0,0,Would require medical professionals to submit suspected vaccine adverse events to the bureau of public health and receive formal training on negative vaccine side effects every five years.,Died in committee,Not enacted,Bad
West Virginia,WV SB 904,0,0,0,Would move several vaccine-related public health authorities from the Public Health Commissioner to the State Health Officer,Died in chamber,Not enacted,Bad
West Virginia,WV SB 259; WV SB 556; WV HB 2376,0,0,0,Would affect foster care home vaccine requirements,Died in committee,Not enacted,Bad
West Virginia,WV HB 3489,0,0,0,Would expand exemptions for childhood immunizations.,Died in committee,Not enacted,Bad
West Virginia,WV HB 3384,0,0,0,The purpose of this bill is to prohibit vaccine mandates at all institutions of higher education.,Died in committee,Not enacted,Bad
West Virginia,WV HB 3298,0,0,0,The purpose of this bill is to prohibit colleges and universities in West Virginia from requiring the COVID-19 vaccine or associated booster shot as a prerequisite for enrolling or attending in-person class.,Died in committee,Not enacted,Bad
West Virginia,WV SB 460,0,0,0,"Would add religious and philosophical exemptions for school vaccine requirements, prohibiting students from being excluded for lack of vaccination.",Died in chamber,Not enacted,Bad
West Virginia,WV HB 3019,0,0,0,Would require certain information to be included with any school-related immunization notifications for parents. ,Died in committee,Not enacted,Bad
West Virginia,WV HB 2732 ; WV SB 250;  WV SB 460,0,0,0,"Would add religious and philosophical exemptions for school vaccine requirements, prohibiting students from being excluded for lack of vaccination.",Died in committee,Not enacted,Bad
West Virginia,WV HB 2729,1,0,0,"Would prohibit vaccine mandates for private, parochial, charter, virtual charter, and remote public schools",Died in committee,Not enacted,Bad
West Virginia,WV SB 289,1,0,0,Would allow for religious and philosophical exemptions to mandatory vaccination requirements and would revise the existing process to obtain a medical exemption,Died in committee; combined multiple bills related to religious and philosophical exemptions,Not enacted,Bad
West Virginia,WV SB 250,0,0,0,The purpose of this bill is to provide a religious exemption to school attendance vaccines requirements.,Died in committee,Not enacted,Bad
West Virginia,WV HB 2004; WV HB 3489,0,0,0,This bill would allow for exemptions based on religious and philosophical objections for compulsory childhood immunizations.,Died in committee,Not enacted,Bad
West Virginia,WV SB 108,1,0,0,Would make immunization completely voluntary for students attending private schools,Died in committee,Not enacted,Bad
West Virginia,WV HB 2203,0,0,0,The purpose of this bill is to eliminate the vaccine requirements for public virtual schools.,Died in committee,Not enacted,Bad
West Virginia,WV HB 2376,0,0,0,The purpose of this bill is to prohibit the requirement that the children of foster parents must be immunized.,Died in committee,Not enacted,Bad
West Virginia,WV SB 556,0,0,0,The purpose of this bill is to prohibit the requirement of certain immunizations as condition of being a foster parent and provide an exception.,Died in committee,Not enacted,Bad
West Virginia,WV HB 2529,0,0,0,The purpose of this bill is to eliminate compulsory COVID-19 vaccinations for participation or employment in any organization that receives state dollars.,Died in committee,Not enacted,Bad
West Virginia,WV SB 49,0,0,0,The purpose of this bill is to prohibit mandates for vaccinations.,Died in committee,Not enacted,Bad
West Virginia,WV HB 2517,1,0,0,Would eliminate all vaccine mandates for school enrollment,Died in committee,Not enacted,Bad
West Virginia,WV HB 2517,0,0,0,"Would eliminate vaccine mandates and establish that vaccinations are not required as a condition of school enrollment, attendance, or employment.",Died in committee,Not enacted,Bad
West Virginia,WV HB 2372,1,0,0,"Would establish a ""Parents' Bill of Rights"" that reaffirms the rights of parents to make vaccination decisions",Died in committee,Not enacted,Bad
West Virginia,WV SB 250,0,0,0,Would allow for religious exemptions to vaccine requirements.,,Not enacted,Bad
West Virginia,WV HB 2430,0,0,0,The purpose of this bill is to allow for pharmaceutical companies to be held liable for injuries resulting from the Covid-19 vaccine.,Died in committee,Not enacted,Bad
Virginia,VA HB 2189,1,0,0,"Would expand vaccine exemptions, particularly in school settings, during an epidemic",Died in committee,Not enacted,Bad
Virginia,VA SB 84,0,0,1,Involve school or childcare vaccine requirements- related to homeschooled kids,Died in chamber; urelated,Not enacted,Good
Virginia,VA HB 1785,0,0,1,Involve school or childcare vaccine requirements- related to daycare centers,Died in committee; this bill is unrelated in the original text- relates to exemption from licensure requirements,Not enacted,Good
Virginia,VA H 1279,1,1,1,"Requires the Department of Health to make the school health entrance forms, including immunization forms, more user-friendly",04/04/2024 - Enacted,Enacted,Good
Virginia,VA H 2306; VA H 783,1,0,0,Would allow for religious exemptions to immunization during epidemics,Died,Not enacted,Good
Vermont,VT H 69,1,0,0,Proposes to publicize reporting by health providers of adverse events following immunization on the health department's website ,Died in committee,Not enacted,Bad
Vermont,VH 274,0,0,0,Prohibits discrimination by hospitals based on vaccination status,Died in committee,Not enacted,Bad
Vermont,VT SR 14,0,1,1,Urges USDA and CDC to expedite the establishment and implementation of an H5 vaccine reserve and distribution system for farms,Not eligible- avian influenza,Enacted,Good
Vermont,VT H 433,0,0,1,Would establish a universal state health plan that covers vaccines,Died in committee,Not enacted,Good
Vermont,VT H 274,0,0,0,Would prohibit refusing healthcare services to someone due to their vaccine status.,Died in committee,Not enacted,Bad
Vermont,VT H 185,0,0,1,Would expand an existing childhood universal vaccine purchase program to include coverage for all primary care services,Died in committee,Not enacted,Good
Vermont,VT S 64,1,0,1,Would allow optometrists to vaccinate during health emergencies,Died in committee,Not enacted,Good
Utah,UT SB 13,1,1,0,"This education law, among various provisions, exempts students attending a home-based ""microschool"" or micro-education program from school immunization requirements.","This bill was passed in to law on March 20, 2024",Enacted,Bad
Utah,UT HB 228,0,1,0,Removes any expiration of student vaccine exemption forms and requires schools to transfer such exemption if a student changes schools,"This bill makes administrative changes to vaccination records and exemptions. It eliminates the expiration of school vaccine exemption forms (previously, Utah required periodic renewal of exemptions) and requires that when a student transfers schools, their immunization record and any exemption must be forwarded to the new school",Enacted,Bad
Utah,UT SB 89,1,0,1,Would ensure appropriate compensation/reimbursement for vaccine administration,NA,Enacted,Good
Tennessee,TN HJR 28,1,0,0,"Would forbid the state from compelling any individual to undergo medical treatment, including vaccination, even during a declared emergency",Died in committee,Not enacted,Bad
Tennessee,TN SB 263; TN SB 318,1,1,0,Prohibits the enforcement or recognition of requirements or mandates issued by the World Health Organization as the basis for any official action,Combined these two- both enacted,Enacted,Bad
Tennessee,TN HB 318,0,1,0,"Prohibits the enforcement and recognition of requirements or mandates issued by the World Health Organization, United Nations, or World Economic Forum in this state.",NA,Enacted,Bad
Tennessee,TN SB 260,0,0,0,Focuses on mRNA vaccine food labeling requirements,Died in committee,Not enacted,Bad
Tennessee,TN SB 1272,1,1,0,States that a child in state custody cannot be denied school admission due to lack of immunization or inability to provide immunization records,NA,Enacted,Bad
Tennessee,TN SB 827; TN HB 1003,1,1,0,Remove vaccine requirements for students attending fully online private schools,NA,Enacted,Bad
Tennessee,TN SB 1389,0,0,1,Would prohibit providers who participate in Medicaid (or CoverKids) from refusing to see/treat patients due to vaccine refusal.,Died in chamber,Not enacted,Good
Tennessee,TN HB 1157,1,1,0,"Prohibits the state or local health department from promoting, distributing, or endorsing FDA-regulated products for uses not specified in their official labeling",NA,Enacted,Bad
Tennessee,TN HB 1003,0,1,0,Removes vaccine requirements for students enrolled in fully online private schools.,NA,Enacted,Bad
Tennessee,TN HB 638,0,0,1,"Would prohibit discrimination based on vaccination status, specify one's right to refuse vaccination, or prohibit refusal of services due to vaccine status.",Died in chamber,Not enacted,Good
Tennessee,TN SB 680,0,1,0,Requires that any school parental communications about vaccines also include information about Type 1 and Type 2 Diabetes.,NA,Enacted,Good
Tennessee,TN HB 446,0,0,0,"Would restrict the jurisdiction of the World Health Organization, the United Nations, and the World Economic Forum in this state.",Died in chamber (changed this to 0 as such bills are already captured for this state),Not enacted,Bad
Tennessee,"TN HB 1156, TN SB 1030",1,0,0,Would remove the responsibility of parents or guardians to ensure that their child receives vaccines recommended by CDC/AAP guidelines,Died in chamber,Not enacted,Bad
Tennessee,TN SB 1030,0,0,0,Would remove the responsibility of a parent or guardian to ensure that a child receives vaccines as recommended by CDC/AAP guidelines.,Died in chamber,Not enacted,Bad
Tennessee,TN SB 828,0,0,0,Requires a person who collects blood donations for the purpose of providing blood for blood transfusions to require a blood donor to disclose if the donor has received a COVID-19 vaccination; permits a person in need of a blood transfusion in a nonemergent situation to request blood based on the blood donor's COVID-19 vaccination status,Died in committee,Not enacted,Bad
Tennessee,TN SB 616,0,0,0,Would prohibit the sale of any food that contains a vaccine or vaccine material,Died in committee,Not enacted,Bad
Tennessee,TN HB 928,0,0,0,Would prohibit the sale of any food that contains a vaccine or vaccine material,Died in chamber,Not enacted,Bad
Tennessee,TN HB 1100,0,0,0,"Prohibits the manufacture, sale, or delivery, holding, or offering for sale in this state of any food that contains an antibiotic, or a vaccine or vaccine material, unless the food labeling contains a conspicuous notification of the presence of the antibiotic, vaccine, or vaccine material in the food; defines food that contains a vaccine or vaccine material as a drug for purposes of the Tennessee Food, Drug and Cosmetic Act",Died in chamber,Not enacted,Bad
South Carolina,SC H 3172,0,0,0,"Focus on mRNA vaccine-related food labeling, requiring meat products to indicate if mRNA vaccines were used",Not eligible; Died in committee,Not enacted,Bad
South Carolina,SC H 3198,0,0,0,"Focus on mRNA vaccine-related food labeling, requiring meat products to indicate if mRNA vaccines were used",Died in committee,Not enacted,Bad
South Carolina,SC S 2,1,1,0,Specifies requirements of informed consent for vaccination,NA,Enacted,Bad
South Carolina,SC H 4562,1,0,1,Would prohibit insurers from requiring prior authorization for vaccines recommended by the Advisory Committee on Immunization Practices (ACIP),"Died in committee; changing this to pro as by prohibiting prior authorization, removes adminsitrative and insurance related barriers",Not enacted,Good
South Carolina,SC S 531,0,0,1,Would specify vaccine coverage/reimbursement rates.,Died in committee,Not enacted,Good
South Carolina,SC H 4262,0,0,0,Would restrict the use of mRNA vaccines,Died in committee,Not enacted,Bad
South Carolina,SC H 4009,1,0,0,"Would emphasize the rights of individuals to refuse medical treatments, including vaccines",Died in committee,Not enacted,Bad
South Carolina,SC S 343,0,0,0,To Establish An Informed Consent Protocol That Must Be Followed Prior To A Certain Covid-19 Vaccine Being Administered Or Received.,Not eligible; Died in committee,Not enacted,Bad
South Carolina,SC H 3581,0,0,1,"This bill requires all students at South Carolinaâ€™s public colleges and universities (including technical colleges) to be vaccinated against meningococcal disease A and B and Hepatitis B in order to enroll and remain enrolled.Students (or their parents/guardians, if under 18) must be notified of the disease risks and provide proof of vaccination, unless medically exempted. Private colleges can choose to follow these rules but are not required to.",Died in committee,Not enacted,Good
South Carolina,SC S 54,1,0,0,Seeks to broadly prohibit vaccine mandates across settings,"Died in chamber; Make it illegal for anyoneâ€”including businesses, colleges, or the governmentâ€”to require vaccines, with penalties for doing so.Prohibit employers from punishing employees who refuse vaccination. Reduce state powers to enforce quarantines (removes National Guard support for quarantine, limits isolation to only symptomatic or exposed individuals, and sets a 21-day time limit for asymptomatic quarantine).Requires the state to monitor vaccine safety and efficacy.Removes the requirement that health care workers must help give vaccines to keep their license.Adds new definitions for â€œgene therapyâ€ and â€œvaccineâ€â€”potentially to restrict what can be mandated or promoted in the future.",Not enacted,Bad
South Carolina,SC H 3118,1,0,0,"Would establish a ""Parental Bill of Rights,"" emphasizing parents' rights to make vaccine decisions for their children",Died in committee,Not enacted,Bad
South Carolina,SC H 3096,0,0,0,"Involves additional vaccine labeling or disclosures, including potential exposure to vaccine components",Not eligible; Died in committee,Not enacted,Bad
Rhode Island,RI SB 166,0,0,1,Would allow pharmacists to administer the flu vaccine to patients of any age,Not eligible,Not enacted,Good
Rhode Island,RI HB 6373,1,0,1,Would require Medicaid reimbursement for immunization administration to be no less than 100% of the Medicare reimbursement rate,Died in committee,Not enacted,Good
Rhode Island,RI HB 5427,0,0,1,Would allow pharmacists to administer COVID-19 vaccines to those 9 years and older (law currently allows for flu administration).,Not eligible,Not enacted,Good
Rhode Island,RI SB 897,1,0,1,Would specify vaccine coverage and reimbursement rates,Died in committee,Not enacted,Good
Rhode Island,RI SB 699,0,0,1,Includes the COVID-19 immunization under the consent and reporting provisions required for pharmacy administered immunizations to individuals between nine (9) and eighteen (18) years of age.,Died in committee,Not enacted,Good
Rhode Island,RI HB 6037,1,0,1,Would give pharmacists the authority to administer vaccines to individuals aged 3 years and older,Died in committee,Not enacted,Good
Rhode Island,RI SB 284,1,0,0,"Would establish a ""Parental Bill of Rights,"" emphasizing parents’ authority to make vaccination decisions for their children",Died in committee,Not enacted,Bad
Rhode Island,RI S 469,1,0,0,"Would require healthcare professionals to obtain written informed consent, signed by a parent or guardian prior to administering a vaccine ",Pending in Senate Health and Human Services committee,Not enacted,Bad
Rhode Island,RI H 5856,0,0,0,"Prohibit any person or entity exercising control, power, supervision, or responsibility over another individual from mandating vaccination without offering individual exemptions. These exemptions must allow a person to opt out of such mandates based on personal or medical reasons, religious beliefs, immunity status, periodic testing, or the use of provided personal protective equipment. The measure also provides for fines and penalties for violations",Pending in Senate Health and Human Services committee,Not enacted,Bad
Texas,TX HB 1586,1,1,0,Requires the health department to provide a blank affidavit form for claiming a vaccination exemption and to post it on their website,NA,Enacted,Bad
Texas,TX SB 407; TX HB 1468,0,0,0,Relates to the vaccine exemptions for individuals covered under a vaccine preventable disease policy implemented by certain health care facilities.,Died in committee,Not enacted,Bad
Texas,TX HB 1468,0,0,0,Relating to vaccine exemptions for individuals covered under a vaccine preventable disease policy implemented by certain health care facilities.,Died in committee,Not enacted,Bad
Texas,TX HJR 91,1,0,0,Proposes a constitutional amendment recognizing the right of an individual to refuse vaccination without impacting their ability to attend school,Died in committee,Not enacted,Bad
Texas,TX SJR 10,0,0,0,Proposes a constitutional amendment guaranteeing the right of individuals to refuse medical treatments.,Died in committee,Not enacted,Bad
Texas,TX HB 1304,0,0,0,Propose new vaccine labeling requirements,Not eligible; Died in committee,Not enacted,Bad
Texas,TX SB 122,0,0,0,Relating to required labeling of certain products containing or derived from aborted human fetal tissue.,Not eligible; Died in committee,Not enacted,Bad
Texas,TX SB 754,0,0,0,Relates to additional informed consent requirements for vaccine communications,Died in committee,Not enacted,Bad
Texas,TX SB 269,0,1,0,Authorizes disciplinary action by the Texas Medical Board for failure to report suspected vaccine adverse events into VAERS.,NA,Enacted,Bad
Texas,TX SB 315,0,0,0,"Would establish individual property rights to one's DNA, prohibiting anything that would alter or modify it",Died in chamber,Not enacted,Bad
Texas,TX HB 1620,0,1,0,Would prohibit providers who take Medicaid or CHIP from refusing services based on an individualâ€™s vaccination status.,This bill is something else entirely on LegiScan and Google compared to AIM,Enacted,Bad
Texas,TX SB 401,0,1,1,Would allow homeschool students to participate in public school athletics if they adhere to the same vaccination requirements.,NA,Enacted,Good
Texas,TX HB 4076,0,1,0,Would prohibit utilizing one's immunization status to make organ transplant decisions.,Not eligible,Enacted,Bad
Texas,TX SB 2119,0,0,0,Would require exemptions of conscience to vaccine requirements at medical and veterinary schools.,Died in committee,Not enacted,Bad
Texas,TX HB 3540; TX S 254; TX HB 623,0,0,1,"Would let pharmacists vaccinate ages 3+ for flu and COVID-19, and ages 5+ for other vaccines. Expanding authority of pharmacists to vaccinate",Died in committee; including these bills under one theme,Not enacted,Good
Texas,TX HB 4535,0,1,1,"Would require an informed consent process before COVID-19 vaccine administration, including risks, development speed, lack of long-term studies, manufacturer liability, and VAERS info",Not eligible,Enacted,Good
Texas,TX HB 3441,1,1,0,Establishes civil liability for vaccine manufacturers that advertise their products in the state if the vaccine causes harm or injury,Not sure if we should be including this,Enacted,Bad
Texas,TX HB 4535,0,1,0,"Would require an informed consent process before COVID-19 vaccine administration that specifically includes risks, development speed, long-term studies, manufacturer liability, and VAERS info.",Not eligible,Enacted,Bad
Texas,TX SB 95; TX HB 943,0,0,0,Would allow for civil suit if informed consent for vaccination is not obtained,Died in committee,Not enacted,Bad
Texas,TX HB 4587,0,0,0,Would affect vaccine requirements and exemptions in Kâ€“12 schools.,Died in committee,Not enacted,Bad
Texas,TX HB 4927,0,0,0,Would affect vaccine requirements in colleges and universities.,Not eligible; Died in committee,Not enacted,Bad
Texas,TX  SB 2119,0,0,0,Would affect vaccine requirements in colleges and universities.,Not eligible; Died in committee,Not enacted,Bad
Texas,TX HB 5622,0,0,0,Would affect workplace vaccine requirements.,Not eligible; Died in committee,Not enacted,Bad
Texas,TX HB 5611,0,0,1,Would expand EMS providersâ€™ authority to vaccinate.,Not eligible; Died in chamber,Not enacted,Good
Texas,TX SB 2375,0,0,0,Would prohibit medical service refusals based on vaccination status.,Died in committee,Not enacted,Bad
Texas,TX HB 5022,0,0,0,Would restrict the use of mRNA vaccines,Not eligible; Died in committee,Not enacted,Bad
Texas,TX HB 3735,0,0,1,Would require private insurer coverage for vaccines,Died in committee,Not enacted,Good
Texas,TX HB 3304,0,0,0,Would prohibit any new vaccine requirements.,Died in committee,Not enacted,Bad
Texas,TX SB 1859; TX SB 3794; TX SB 911,0,0,1,Would expand advanced practice registered nursesâ€™ ability to vaccinate.,Died in chamber,Not enacted,Good
Texas,TX HB 3794,0,0,1,Would expand advanced practice registered nursesâ€™ ability to vaccinate.,Died in committee,Not enacted,Good
Texas,TX HB 3472,0,0,0,Relating to informed consent requirements before the provision of health care services.,Died in committee,Not enacted,Bad
Texas,TX HB 3852,NA,0,1,Relating to providing information regarding immunization requirements for admission to public elementary and secondary schools.,Died in committee,Not enacted,Good
Texas,TX SB 911,0,0,1,Would expand advanced practice registered nursesâ€™ authority to vaccinate,Died in committee,Not enacted,Good
Texas,TX SB 118; TX H 3440,0,0,0,Would remove authority to remove students from school during an outbreak,Died in committee,Not enacted,Bad
Texas,TX HB 468,0,0,0,Would remove health department authority to change the school vaccine schedule.,Died in committee,Not enacted,Bad
Texas,TX SB 117,0,0,0,Would specify required immunizations and remove the health department's ability to develop additional immunization recommendations.,Died in committee,Not enacted,Bad
Texas,TX SB 119,0,0,0,Would require labeling of animal meat products that received mRNA vaccines.,Died in committee,Not enacted,Bad
Texas,TX SB 269,0,1,0,Explicit requirements for VAERS reporting.,NA,Enacted,Bad
Texas,TX HB 1356,1,0,0,Would prohibit discrimination by health care providers based on vaccination status,Died in committee,Not enacted,Bad
Texas,TX SB 623,0,0,1,Expand the scope of pharmacist and pharmacist technician vaccination authority.,Died in committee,Not enacted,Good
Texas,TX HB 943,0,0,0,Civil suit for vaccine injury or failure to obtain informed consent.,Died in committee,Not enacted,Bad
Texas,TX S 46,1,0,1,Would change state immunization registry from opt-in to opt-out and create clear procedures for those who want their information excluded,Died in committee,Not enacted,Good
Texas,TX SB 1859; TX SB 3794; TX SB 911; TX HB 3540; TX S 254; TX HB 623; TX HB 5611,0,0,1,"Expanding practise registered nurses, EMS providers, pharmacists and pharmacist technicians ability to vaccinate",Died in committee,Not enacted,Good
Texas,TX HCR 105,0,0,0,"Would designate ""Vaccine Injury Awareness Day"" to be recognized for 10 years.",,Not enacted,Bad
Wisconsin,WI SB 489,1,0,0,"Would prohibit the state from infringing on the fundamental rights of parents, including making immunization-related decisions",,Not enacted,Bad
Wisconsin,WI SB 228,1,0,0,Would prohibit the Department of Health Services from requiring additional vaccines for school attendance,,Not enacted,Bad
Wisconsin,WI SB 418,1,0,1,Would establish a program to provide vaccines to individuals who are not eligible to receive the vaccines at no cost from a federal program,,Not enacted,Good
Wisconsin,WI AB 428,0,0,1,Would require physicians to administer vaccines to minors who are at least 16 years old regardless of parental consent,,Not enacted,Good
Wyoming,WY SB 162,1,0,0,Would remove certain requirements to obtain non-medical exemptions to vaccine requirements,,Not enacted,Bad
Wyoming,WY SB 24,1,1,0,Allows pharmacy technicians to abstain from administering immunizations to children under 13 years,,Enacted,Bad
Wyoming,WY HB 44,1,0,0,"Would establish parental rights in a minor child's health care, repealing a provision authorizing vaccination of a minor without parental consent",,Not enacted,Bad
