State,Bill Number,1 Include in brief,1 Enacted 0 not enacted,1 Good 0 Bad,Text Description,Comments,Bill status,Bill valency 
District of Columbia,DC B 463,1,1,1,Permits a minor who is a specified age or older and enrolled in Medicaid or the DC HealthCare Alliance to access their medical records and consent to health services without parental consent if the minor meets the informed consent standard.,03/23/2024 - Enacted,Enacted,Good
District of Columbia,DC B 278,1,1,1,Updates the requirements for providing certifications of immunization for students attending schools and child development facilities and authorizes the Mayor to establish the list of immunizations required.,Enacted- 1/23/2024,Enacted,Good
Washington,WA HB 1520; WA SB 5513,1,0,1,Would expand authority of pharmacists to administer vaccines.,Died in committee,Not enacted,Good
Washington,WA HB 1531,1,1,1,Preserves the ability of public officials to address communicable diseases.,,Enacted,Good
Washington,WA SB 5781,0,0,1,Restoring trust in public health by conforming to food and drug administration labeling.,Not eligible; Died in committee,Not enacted,Good
Washington,WA SB 5513,0,0,1,Involves pharmacist vaccination authority,Died in committee,Not enacted,Good
Washington ,WA H 1957,1,1,1,"Relating to preserving coverage of preventive services without cost sharing, relates to immunizations for routine use in children, adolescents, and adults that have in effect a recommendation from the advisory committee on immunization practices of the centers for disease control and prevention with respect to the enrollee.",03/28/2024 - Enacted,Enacted,Good
West Virginia,WV SB 517,1,0,0,Would require medical professionals to submit suspected vaccine adverse events to the bureau of public health and receive formal training on negative vaccine side effects every five years.,Died in committee,Not enacted,Bad
West Virginia,WV SB 904,0,0,0,Would move several vaccine-related public health authorities from the Public Health Commissioner to the State Health Officer,Died in chamber,Not enacted,Bad
West Virginia,WV SB 259; WV SB 556; WV HB 2376,0,0,0,Would affect foster care home vaccine requirements,Died in committee,Not enacted,Bad
West Virginia,WV HB 3489,0,0,0,Would expand exemptions for childhood immunizations.,Died in committee,Not enacted,Bad
West Virginia,WV HB 3384,0,0,0,The purpose of this bill is to prohibit vaccine mandates at all institutions of higher education.,Died in committee,Not enacted,Bad
West Virginia,WV HB 3298,0,0,0,The purpose of this bill is to prohibit colleges and universities in West Virginia from requiring the COVID-19 vaccine or associated booster shot as a prerequisite for enrolling or attending in-person class.,Died in committee,Not enacted,Bad
West Virginia,WV SB 460,0,0,0,"Would add religious and philosophical exemptions for school vaccine requirements, prohibiting students from being excluded for lack of vaccination.",Died in chamber,Not enacted,Bad
West Virginia,WV HB 3019,1,0,0,The purpose of this bill is to provide for school-related immunization notifications.,Died in committee,Not enacted,Bad
West Virginia,WV HB 2732 ; WV SB 250;  WV SB 460,0,0,0,"Would add religious and philosophical exemptions for school vaccine requirements, prohibiting students from being excluded for lack of vaccination.",Died in committee,Not enacted,Bad
West Virginia,WV HB 2729; WV HB 2203; WV SB 108 ; ,1,0,0,"Would prohibit vaccine mandates for certain schools in this state, including private schools and online schools. ",Died in committee,Not enacted,Bad
West Virginia,WV SB 289; WV SB 460; WV HB 2732 ; WV SB 250; WV HB 2004; WV HB 3489,1,0,0,Would allow for religious and philosophical exemptions to mandatory vaccination requirements to accommodate religious conviction and philosophical beliefs and would revise the existing medical exemption process.,Died in committee; combined multiple bills related to religious and philosophical exemptions,Not enacted,Bad
West Virginia,WV SB 250,0,0,0,The purpose of this bill is to provide a religious exemption to school attendance vaccines requirements.,Died in committee,Not enacted,Bad
West Virginia,WV HB 2004; WV HB 3489,0,0,0,This bill would allow for exemptions based on religious and philosophical objections for compulsory childhood immunizations.,Died in committee,Not enacted,Bad
West Virginia,WV SB 108,0,0,0,Would remove vaccine requirements for certain school-types (private schools),Died in committee,Not enacted,Bad
West Virginia,WV HB 2203,0,0,0,The purpose of this bill is to eliminate the vaccine requirements for public virtual schools.,Died in committee,Not enacted,Bad
West Virginia,WV HB 2376,0,0,0,The purpose of this bill is to prohibit the requirement that the children of foster parents must be immunized.,Died in committee,Not enacted,Bad
West Virginia,WV SB 556,0,0,0,The purpose of this bill is to prohibit the requirement of certain immunizations as condition of being a foster parent and provide an exception.,Died in committee,Not enacted,Bad
West Virginia,WV HB 2529,0,0,0,The purpose of this bill is to eliminate compulsory COVID-19 vaccinations for participation or employment in any organization that receives state dollars.,Died in committee,Not enacted,Bad
West Virginia,WV SB 49,0,0,0,The purpose of this bill is to prohibit mandates for vaccinations.,Died in committee,Not enacted,Bad
West Virginia,WV SB 466; WV SB 49; WV HB 2517; ,1,0,0,"Would eliminate vaccine mandates and establish that vaccinations are not required as a condition of school enrollment, attendance, or employment.",Died in committee,Not enacted,Bad
West Virginia,WV HB 2517,0,0,0,"Would eliminate vaccine mandates and establish that vaccinations are not required as a condition of school enrollment, attendance, or employment.",Died in committee,Not enacted,Bad
West Virginia,WV HB 2372,1,0,0,Would establish a parental bill of rights.,Died in committee,Not enacted,Bad
West Virginia,WV HB 2430 ,0,0,0,The purpose of this bill is to allow for pharmaceutical companies to be held liable for injuries resulting from the Covid-19 vaccine.,Died in committee,Not enacted,Bad
Virginia,VA HB 2189,1,0,0,"Involves removing vaccine requirements or expanding exemptions, particularly in school settings",Died in committee,Not enacted,Bad
Virginia,VA SB 84,0,0,1,Involve school or childcare vaccine requirements- related to homeschooled kids,Died in chamber; urelated,Not enacted,Good
Virginia,VA HB 1785,0,0,1,Involve school or childcare vaccine requirements- related to daycare centers,Died in committee; this bill is unrelated in the original text- relates to exemption from licensure requirements ,Not enacted,Good
Virginia ,VA H 1279,1,1,1,"Requires the Department of Health, in conjunction with the Department of Education to examine the Department of Health's Commonwealth School Health Entrance Form: Health Information Form/Comprehensive Physical Examination Report/Certification of Immunization and make such changes as they deem necessary to streamline such form, make it available in both digital and print formats, and make it more user-friendly for families, physicians, and other health care professionals.",04/04/2024 - Enacted,Enacted,Good
Virginia,VA H 2306; VA H 783,1,0,1,"This provision allows the State Health Commissioner to mandate immediate immunization of everyone during an epidemic, except for those with a physician-certified medical contraindication or those who object on religious grounds; it also confirms the Commissioner’s authority to issue quarantine or isolation orders for public health threats.",Died,Not enacted,Good
Vermont,VT H 69,1,0,0,Proposes state-level versions of VAERS or VAERS reporting.,Died in committee,Not enacted,Bad
Vermont,VT H 60; VH 274,1,0,0,Prohibits discrimination based on vaccination status,Died in committee,Not enacted,Bad
Vermont,VT SR 14 ,0,1,1,Urges USDA and CDC to expedite the establishment and implementation of an H5 vaccine reserve and distribution system for farms,Not eligible- avian influenza,Enacted,Good
Vermont,VT H 433,1,0,1,Would establish a universal state health plan that covers vaccines,Died in committee,Not enacted,Good
Vermont,VT H 274,0,0,0,Would prohibit refusing healthcare services to someone due to their vaccine status.,Died in committee,Not enacted,Bad
Vermont,VT H 185,1,0,1,Would expand an existing childhood universal vaccine purchase program to include coverage for all primary care services.,Died in committee,Not enacted,Good
Vermont,VT H 241; VT S 64,1,0,1,Would expand optometrists’ authority to vaccinate,Died in committee,Not enacted,Good
Utah ,UT SB 13,1,1,0,"An education law that, among various provisions, exempted students attending a home-based “microschool” or micro-education program from the usual school immunization requirements","This bill was passed in to law on March 20, 2024",Enacted,Bad
Utah,UT HB 228,1,1,0,Removes any expiration of student vaccine exemption forms and requires schools to transfer such exemption if a student changes schools,"This bill makes administrative changes to vaccination records and exemptions. It eliminates the expiration of school vaccine exemption forms (previously, Utah required periodic renewal of exemptions) and requires that when a student transfers schools, their immunization record and any exemption must be forwarded to the new school",Enacted,Bad
Utah,UT SB 89,1,1,1,Seeks to ensure appropriate compensation/reimbursement for vaccine administration,,Enacted,Good
Tennessee,TN HJR 28,1,0,0,"Would forbid the state from compelling any person to undergo a medical treatment, including vaccination, even during a declared emergency.",Died in committee,Not enacted,Bad
Tennessee,TN SB 263; TN SB 318,1,1,0,Prohibits the enforcement and recognition of requirements or mandates issued by the World Health Organization as the basis for any action.,Combined these two- both enacted,Enacted,Bad
Tennessee,TN HB 318,0,1,0,"Prohibits the enforcement and recognition of requirements or mandates issued by the World Health Organization, United Nations, or World Economic Forum in this state.",,Enacted,Bad
Tennessee,TN SB 260,0,0,0,Focuses on mRNA vaccine food labeling requirements,Died in committee,Not enacted,Bad
Tennessee,TN SB 1272,1,1,0,States a child in state custody cannot be denied school admission if the child has not been immunized or cannot produce their immunization records.,,Enacted,Bad
Tennessee,TN SB 827; TN HB 1003,1,1,0,Removes vaccine requirements for students attending private schools that are fully online.,,Enacted,Bad
Tennessee,TN SB 1389,0,0,1,Would prohibit providers who participate in Medicaid (or CoverKids) from refusing to see/treat patients due to vaccine refusal.,Died in chamber,Not enacted,Good
Tennessee,TN HB 1157,1,1,0,"Prohibits the state or local health department from promoting, distributing, or endorsing FDA-regulated products outside of their labeling.",,Enacted,Bad
Tennessee,TN HB 1003,0,1,0,Removes vaccine requirements for students enrolled in fully online private schools.,,Enacted,Bad
Tennessee,TN HB 638,0,0,1,"Would prohibit discrimination based on vaccination status, specify one's right to refuse vaccination, or prohibit refusal of services due to vaccine status.",Died in chamber,Not enacted,Good
Tennessee,TN SB 680,0,1,0,Requires that any school parental communications about vaccines also include information about Type 1 and Type 2 Diabetes.,,Enacted,Good
Tennessee,TN HB 446,0,0,0,"Would restrict the jurisdiction of the World Health Organization, the United Nations, and the World Economic Forum in this state.",Died in chamber (changed this to 0 as such bills are already captured for this state),Not enacted,Bad
Tennessee,"TN HB 1156, TN SB 1030 ",1,0,0,Would remove the responsibility of a parent or guardian to ensure that a child receives vaccines as recommended by CDC/AAP guidelines.,Died in chamber,Not enacted,Bad
Tennessee,TN SB 1030,0,0,0,Would remove the responsibility of a parent or guardian to ensure that a child receives vaccines as recommended by CDC/AAP guidelines.,Died in chamber,Not enacted,Bad
Tennessee,TN SB 828,0,0,0,Requires a person who collects blood donations for the purpose of providing blood for blood transfusions to require a blood donor to disclose if the donor has received a COVID-19 vaccination; permits a person in need of a blood transfusion in a nonemergent situation to request blood based on the blood donor's COVID-19 vaccination status,Died in committee,Not enacted,Bad
Tennessee,TN SB 616,0,0,0,Would prohibit the sale of any food that contains a vaccine or vaccine material,Died in committee,Not enacted,Bad
Tennessee,TN HB 928,0,0,0,Would prohibit the sale of any food that contains a vaccine or vaccine material,Died in chamber,Not enacted,Bad
Tennessee,TN HB 1100,0,0,0,"Prohibits the manufacture, sale, or delivery, holding, or offering for sale in this state of any food that contains an antibiotic, or a vaccine or vaccine material, unless the food labeling contains a conspicuous notification of the presence of the antibiotic, vaccine, or vaccine material in the food; defines food that contains a vaccine or vaccine material as a drug for purposes of the Tennessee Food, Drug and Cosmetic Act",Died in chamber,Not enacted,Bad
South Carolina,SC H 3172,0,0,0," Focus on mRNA vaccine-related food labeling, requiring meat products to indicate if mRNA vaccines were used",Not eligible; Died in committee,Not enacted,Bad
South Carolina,SC H 3198 ,0,0,0," Focus on mRNA vaccine-related food labeling, requiring meat products to indicate if mRNA vaccines were used",Died in committee,Not enacted,Bad
South Carolina,SC S 2,1,1,0,Specifies requirements of informed consent for vaccination.,,Enacted,Bad
South Carolina, SC H 4562,1,0,1,Would prohibit prior authorization from insurers for vaccines recommended by ACIP.,"Died in committee; changing this to pro as by prohibiting prior authorization, removes adminsitrative and insurance related barriers ",Not enacted,Good
South Carolina,SC S 531,0,0,1,Would specify vaccine coverage/reimbursement rates.,Died in committee,Not enacted,Good
South Carolina,SC H 4262,0,0,0,Would restrict the use of mRNA vaccines,Died in committee,Not enacted,Bad
South Carolina,SC H 4009,1,0,0,"Would emphasize the rights of individuals to refuse medical treatments, including vaccines.",Died in committee,Not enacted,Bad
South Carolina,SC S 343,0,0,0,To Establish An Informed Consent Protocol That Must Be Followed Prior To A Certain Covid-19 Vaccine Being Administered Or Received.,Not eligible; Died in committee,Not enacted,Bad
South Carolina,SC H 3581,0,0,1,"This bill requires all students at South Carolina’s public colleges and universities (including technical colleges) to be vaccinated against meningococcal disease A and B and Hepatitis B in order to enroll and remain enrolled.Students (or their parents/guardians, if under 18) must be notified of the disease risks and provide proof of vaccination, unless medically exempted. Private colleges can choose to follow these rules but are not required to.",Died in committee,Not enacted,Good
South Carolina,SC S 54,1,0,0,Seeks to broadly prohibit vaccine mandates across settings.,"Died in chamber; Make it illegal for anyone—including businesses, colleges, or the government—to require vaccines, with penalties for doing so.Prohibit employers from punishing employees who refuse vaccination. Reduce state powers to enforce quarantines (removes National Guard support for quarantine, limits isolation to only symptomatic or exposed individuals, and sets a 21-day time limit for asymptomatic quarantine).Requires the state to monitor vaccine safety and efficacy.Removes the requirement that health care workers must help give vaccines to keep their license.Adds new definitions for “gene therapy” and “vaccine”—potentially to restrict what can be mandated or promoted in the future.",Not enacted,Bad
South Carolina,SC H 3118,1,0,0,"Would establish a Parental Bill of Rights, emphasizing parents' rights to make vaccine decisions for their children.",Died in committee,Not enacted,Bad
South Carolina,SC H 3096,0,0,0,"Involves additional vaccine labeling or disclosures, including potential exposure to vaccine components",Not eligible; Died in committee,Not enacted,Bad
Rhode Island,RI SB 166,0,0,1,Would allow pharmacists to administer the flu vaccine to patients of any age,Not eligible ,Not enacted,Good
Rhode Island,RI HB 6373,1,0,1,Would require Medicaid reimbursement for immunization administration be no less than 100% of Medicare's reimbursement rate.,Died in committee,Not enacted,Good
Rhode Island,RI HB 5427,0,0,1,Would allow pharmacists to administer COVID-19 vaccines to those 9 years and older (law currently allows for flu administration).,Not eligible ,Not enacted,Good
Rhode Island,RI SB 897,1,0,1,Would specify vaccine coverage/reimbursement rates.,Died in committee,Not enacted,Good
Rhode Island,RI SB 699,0,0,1,Includes the COVID-19 immunization under the consent and reporting provisions required for pharmacy administered immunizations to individuals between nine (9) and eighteen (18) years of age.,Died in committee,Not enacted,Good
Rhode Island,RI HB 6037,1,0,1,Would give pharmacists authority to vaccinate persons three years of age and older.,Died in committee,Not enacted,Good
Rhode Island,RI SB 284,1,0,0,"Would establish a parental bill of rights, emphasizing parents’ ability to make vaccine decisions for their children.",Died in committee,Not enacted,Bad
Rhode Island,RI S 469,1,0,0," Requires that healthcare professionals provide written informed consent signed by the recipient, or in the case of a minor child, by a parent or guardian prior to administration of a vaccine, prohibits discrimination against individuals who refuse or delay vaccines, provides for civil recovery and fines of up to twenty-five thousand dollars for violations, prohibits DCYF from investigating a parent/guardian for their failure to vaccinate their child.",Pending in Senate Health and Human Services committee,Not enacted,Bad
Rhode Island,RI H 5856,1,0,0,"Prohibits any person or entity exercising control, power, supervision or responsibility for another person to mandate a vaccination without providing individual exemptions that allow a person to opt out of such mandate on the basis of personal or medical reasons, religious reasons, immunity, periodic testing, or the use of provided personal protective equipment, provides for fines and penalties",Pending in Senate Health and Human Services committee,Not enacted,Bad
Texas,TX HB 1586,1,1,0,"Would require a blank vaccine exemption form be added to the health department website, and prohibit collecting/maintaining personally identifiable data of anyone who uses the form.",,Enacted,Bad
Texas,TX HB 1082; TX HB 730; TX HB 4587,1,0,0,"Would remove vaccine requirements or expand vaccination exemptions in schools, daycares, or post-secondary institutions.",Died in committee,Not enacted,Bad
Texas,TX HB 730,1,0,0,"Would remove vaccine requirements or expand vaccination exemptions in schools, daycares, or post-secondary institutions.",Died in committee,Not enacted,Bad
Texas,TX SB 407; TX HB 1468,0,0,0,Relates to the vaccine exemptions for individuals covered under a vaccine preventable disease policy implemented by certain health care facilities.,Died in committee,Not enacted,Bad
Texas,TX HB 1468,0,0,0,Relating to vaccine exemptions for individuals covered under a vaccine preventable disease policy implemented by certain health care facilities.,Died in committee,Not enacted,Bad
Texas,TX HJR 91; TX SJR 10,1,0,0,Proposes a constitutional amendment recognizing the right of an individual to refuse a vaccination or medical treatments,Died in committee,Not enacted,Bad
Texas,TX SJR 10,0,0,0,Proposes a constitutional amendment guaranteeing the right of individuals to refuse medical treatments.,Died in committee,Not enacted,Bad
Texas,TX HB 1304,0,0,0,Propose new vaccine labeling requirements,Not eligible; Died in committee,Not enacted,Bad
Texas,TX SB 122,0,0,0,Relating to required labeling of certain products containing or derived from aborted human fetal tissue.,Not eligible; Died in committee,Not enacted,Bad
Texas,TX SB 754,0,0,0,Relates to additional informed consent requirements for vaccine communications,Died in committee,Not enacted,Bad
Texas,TX SB 269,1,1,0,Authorizes disciplinary action by the Texas Medical Board for failure to report suspected vaccine adverse events into VAERS.,,Enacted,Bad
Texas,TX SB 315,0,0,0,"Would establish individual property rights to one's DNA, prohibiting anything that would alter or modify it",Died in chamber,Not enacted,Bad
Texas,TX HB 1620,0,1,0,Would prohibit providers who take Medicaid or CHIP from refusing services based on an individual’s vaccination status.,This bill is something else entirely on LegiScan and Google compared to AIM  ,Enacted,Bad
Texas,TX SB 401,1,1,1,Would allow homeschool students to participate in public school athletics if they adhere to the same vaccination requirements.,,Enacted,Good
Texas,TX HB 4076,0,1,0,Would prohibit utilizing one's immunization status to make organ transplant decisions.,Not eligible,Enacted,Bad
Texas,TX SB 2119,0,0,0,Would require exemptions of conscience to vaccine requirements at medical and veterinary schools.,Died in committee,Not enacted,Bad
Texas,TX HB 3540; TX S 254; TX HB 623,0,0,1,"Would let pharmacists vaccinate ages 3+ for flu and COVID-19, and ages 5+ for other vaccines. Expanding authority of pharmacists to vaccinate",Died in committee; including these bills under one theme ,Not enacted,Good
Texas,TX HB 4535,0,1,1,"Would require an informed consent process before COVID-19 vaccine administration, including risks, development speed, lack of long-term studies, manufacturer liability, and VAERS info",Not eligible,Enacted,Good
Texas,TX HB 3441 ,1,1,0,Would make vaccine manufacturers liable for any vaccine injuries in the state.,Not sure if we should be including this,Enacted,Bad
Texas,TX HB 4535,0,1,0,"Would require an informed consent process before COVID-19 vaccine administration that specifically includes risks, development speed, long-term studies, manufacturer liability, and VAERS info.",Not eligible ,Enacted,Bad
Texas,TX SB 95; TX HB 943,0,0,0,Would allow for civil suit if informed consent for vaccination is not obtained,Died in committee,Not enacted,Bad
Texas,TX HB 4587,0,0,0,Would affect vaccine requirements and exemptions in K–12 schools.,Died in committee,Not enacted,Bad
Texas,TX HB 4927,0,0,0,Would affect vaccine requirements in colleges and universities.,Not eligible; Died in committee,Not enacted,Bad
Texas,TX  SB 2119,0,0,0,Would affect vaccine requirements in colleges and universities.,Not eligible; Died in committee,Not enacted,Bad
Texas,TX HB 5622,0,0,0,Would affect workplace vaccine requirements.,Not eligible; Died in committee,Not enacted,Bad
Texas,TX HB 5611,0,0,1,Would expand EMS providers’ authority to vaccinate.,Not eligible; Died in chamber,Not enacted,Good
Texas,TX SB 2375,0,0,0,Would prohibit medical service refusals based on vaccination status.,Died in committee,Not enacted,Bad
Texas,TX HB 5022,0,0,0,Would restrict the use of mRNA vaccines,Not eligible; Died in committee,Not enacted,Bad
Texas, TX HB 3735,0,0,1,Would require private insurer coverage for vaccines,Died in committee,Not enacted,Good
Texas,TX HB 3304,0,0,0,Would prohibit any new vaccine requirements.,Died in committee,Not enacted,Bad
Texas,TX SB 1859; TX SB 3794; TX SB 911,0,0,1,Would expand advanced practice registered nurses’ ability to vaccinate.,Died in chamber,Not enacted,Good
Texas,TX HB 3794,0,0,1,Would expand advanced practice registered nurses’ ability to vaccinate.,Died in committee,Not enacted,Good
Texas,TX HB 3472,0,0,0,Relating to informed consent requirements before the provision of health care services.,Died in committee,Not enacted,Bad
Texas,TX HB 3852,,0,1,Relating to providing information regarding immunization requirements for admission to public elementary and secondary schools.,Died in committee,Not enacted,Good
Texas,TX SB 911,0,0,1,Would expand advanced practice registered nurses’ authority to vaccinate,Died in committee,Not enacted,Good
Texas,TX SB 118; TX H 3440,0,0,0,Would remove authority to remove students from school during an outbreak,Died in committee,Not enacted,Bad
Texas,TX HB 468,1,0,0,Would remove health department authority to change the school vaccine schedule.,Died in committee,Not enacted,Bad
Texas,TX SB 117,1,0,0,"This bill limits the list of required immunizations for Texas school and childcare admission to only those specified by the state (diphtheria, mumps, poliomyelitis, rubella, rubeola, and tetanus), prohibits the addition of new vaccine requirements for school entry by the executive commissioner, and requires the Department of State Health Services to publicize required and recommended vaccines on school district websites.",Died in committee,Not enacted,Bad
Texas,TX SB 119,0,0,0,Would require labeling of animal meat products that received mRNA vaccines.,Died in committee,Not enacted,Bad
Texas,TX SB 269,1,1,0,Explicit requirements for VAERS reporting.,,Enacted,Bad
Texas,TX HB 1356,0,0,0,Anti-discrimination legislation related to vaccine status.,Died in committee,Not enacted,Bad
Texas,TX SB 623,0,0,1,Expand the scope of pharmacist and pharmacist technician vaccination authority.,Died in committee,Not enacted,Good
Texas,TX HB 943,0,0,0,Civil suit for vaccine injury or failure to obtain informed consent.,Died in committee,Not enacted,Bad
Texas ,"TX S 46, TX H 772 ",1,0,0,Relates to the immunization data included in and excluded from the immunization registry.,Died in committee,Not enacted,Bad
Texas ,TX SB 1859; TX SB 3794; TX SB 911; TX HB 3540; TX S 254; TX HB 623; TX HB 5611,1,0,1,"Expanding practise registered nurses, EMS providers, pharmacists and pharmacist technicians  ability to vaccinate",Died in committee,Not enacted,Good
