vaccine_exemption,dose,geography_type,geography,school_year,estimate_percent,population_size,percent_surveyed,footnotes,number_of_exemptions,survey_type
MMR,NA,States,Wisconsin,2021-22,82.6,64275,96.8,>=. ‡,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,Wisconsin,2022-23,86.5,63593,93.9,‡,NULL,"Census (pub.), vol. response (pvt.)"
MMR,NA,States,Wisconsin,2023-24,84.8,62028,98.2,‡. §,NULL,Census
MMR,NA,States,Wisconsin,2024-25,84.8,61120,95.7,‡. §,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Wisconsin,2025-26,85.1,59360,96.6,�. �,NULL,"Census (pub.), vol. response (prv.)"
MMR,NA,States,Wyoming,2020-21,90.2,6923,100,>=.*,NULL,Census
MMR,NA,States,Wyoming,2021-22,92.9,7382,100,*,NULL,Census
MMR,NA,States,Wyoming,2022-23,90.8,7060,100,*,NULL,Census
MMR,NA,States,Wyoming,2023-24,93.5,6754,100,*,NULL,Census
MMR,NA,States,Wyoming,2024-25,93.6,6564,100,*,NULL,Census
MMR,NA,States,Wyoming,2025-26,92.6,6146,100,*,NULL,Census
